中央电视台,#genre#
Lifetime Movies Network,http://fl2.moveonjoy.com/LIFETIME_MOVIE_NETWORK/index.m3u8
Logo East,http://fl3.moveonjoy.com/Logo/index.m3u8
MeTV,http://fl2.moveonjoy.com/ME_TV/index.m3u8
MLB Network,http://fl2.moveonjoy.com/MLB_NETWORK/index.m3u8
MotorTrend,http://fl2.moveonjoy.com/MOTOR_TREND/index.m3u8
MSNBC,http://fl2.moveonjoy.com/MSNBC/index.m3u8
MTV East,http://fl2.moveonjoy.com/MTV/index.m3u8
MTV2 East,http://fl2.moveonjoy.com/MTV_2/index.m3u8
MTV Classic,http://fl2.moveonjoy.com/MTV_CLASSIC/index.m3u8
MTV Live,http://fl2.moveonjoy.com/MTV_LIVE/index.m3u8
mtvU,http://fl2.moveonjoy.com/MTV_U/index.m3u8
National Geographic East,http://fl2.moveonjoy.com/National_Geographic/index.m3u8
National Geographic Wild,http://fl2.moveonjoy.com/Nat_Geo_Wild/index.m3u8
NBA TV,http://fl2.moveonjoy.com/NBA_TV/index.m3u8
NBC East (Chicago),http://fl1.moveonjoy.com/NBC_EAST/index.m3u8
NBC Golf,http://fl2.moveonjoy.com/GOLF_CHANNEL/index.m3u8
NewsNation,http://fl2.moveonjoy.com/NEWS_NATION/index.m3u8
NFL Network,http://fl2.moveonjoy.com/NFL_NETWORK/index.m3u8
NHL Network,http://fl2.moveonjoy.com/NHL_NETWORK/index.m3u8
Nickelodeon East,http://fl1.moveonjoy.com/NICKELODEON/index.m3u8
NickJr East,http://fl2.moveonjoy.com/NICK_JR/index.m3u8
NickMusic USA,http://fl2.moveonjoy.com/NICK_MUSIC/index.m3u8
NickToons East,http://fl1.moveonjoy.com/NICKTOONS/index.m3u8
Oprah Winfrey Network (OWN) East,http://fl2.moveonjoy.com/OWN/index.m3u8
Outdoor Channel,http://fl2.moveonjoy.com/OUTDOOR_CHANNEL/index.m3u8
Oxygen East,http://fl2.moveonjoy.com/OXYGEN/index.m3u8
Paramount Network East,http://fl2.moveonjoy.com/PARAMOUNT_NETWORK/index.m3u8
PopTV East,http://fl3.moveonjoy.com/Pop_TV/index.m3u8
ReelzChannel,http://fl2.moveonjoy.com/REELZ/index.m3u8
Revolt,http://fl2.moveonjoy.com/REVOLT/index.m3u8
SEC Network,http://fl2.moveonjoy.com/SEC_NETWORK/index.m3u8
Showtime East,http://fl2.moveonjoy.com/SHOWTIME/index.m3u8
Showtime 2 East,http://fl2.moveonjoy.com/SHOWTIME_2/index.m3u8
Showtime Extreme East,http://fl2.moveonjoy.com/SHOWTIME_EXTREME/index.m3u8
Showtime Next East,http://fl2.moveonjoy.com/SHOWTIME_NEXT/index.m3u8
Showtime Women East,http://fl2.moveonjoy.com/SHOWTIME_WOMEN/index.m3u8
Stadium,http://fl2.moveonjoy.com/STADIUM/index.m3u8
Starz East,http://fl2.moveonjoy.com/STARZ/index.m3u8
Starz Comedy East,http://fl2.moveonjoy.com/STARZ_COMEDY/index.m3u8
Starz Edge East,http://fl2.moveonjoy.com/STARZ_EDGE/index.m3u8
Starz Encore East,http://fl2.moveonjoy.com/STARZ_ENCORE/index.m3u8
Starz Encore Action,http://fl2.moveonjoy.com/STARZ_ENCORE_ACTION/index.m3u8
Starz Encore Westerns,http://fl2.moveonjoy.com/STARZ_ENCORE_WESTERNS/index.m3u8
SundanceTV,http://fl2.moveonjoy.com/SUNDANCE/index.m3u8
SYFY East,http://fl2.moveonjoy.com/SYFY/index.m3u8
TBS East,http://fl1.moveonjoy.com/TBS/index.m3u8
TCM (Turner Classic Movies) East,http://fl1.moveonjoy.com/TCM/index.m3u8
Tennis Channel,http://fl2.moveonjoy.com/TENNIS_CHANNEL/index.m3u8
TLC (The Learning Channel) East,http://fl2.moveonjoy.com/TLC/index.m3u8
TNT East,http://fl2.moveonjoy.com/TNT/index.m3u8
truTV East,http://fl2.moveonjoy.com/TRU_TV/index.m3u8
TVLand,http://fl2.moveonjoy.com/TV_Land/index.m3u8
TVOne,http://fl2.moveonjoy.com/TV_ONE/index.m3u8
VH1 East,http://fl2.moveonjoy.com/VH1/index.m3u8
Vice,http://fl2.moveonjoy.com/VICELAND/index.m3u8
Weather Channel,http://fl2.moveonjoy.com/THE_WEATHER_CHANNEL/index.m3u8
WeTV,http://fl1.moveonjoy.com/WE_TV/index.m3u8
YES Network,http://fl2.moveonjoy.com/YES_NETWORK/index.m3u8
其他频道,#genre#
教育,#genre#
动画,#genre#
